:Data_list: Gp_xr_1m.txt
:Created: 2011 Aug 03 0511 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W090
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2011 08 03  0311   55776  11460     1.35e-07    1.47e-06
2011 08 03  0312   55776  11520     2.30e-07    1.89e-06
2011 08 03  0313   55776  11580     3.49e-07    2.44e-06
2011 08 03  0314   55776  11640     5.31e-07    3.15e-06
2011 08 03  0315   55776  11700     6.72e-07    3.75e-06
2011 08 03  0316   55776  11760     8.39e-07    4.39e-06
2011 08 03  0317   55776  11820     9.26e-07    4.84e-06
2011 08 03  0318   55776  11880     9.24e-07    5.10e-06
2011 08 03  0319   55776  11940     8.66e-07    5.18e-06
2011 08 03  0320   55776  12000     7.77e-07    5.17e-06
2011 08 03  0321   55776  12060     6.81e-07    5.08e-06
2011 08 03  0322   55776  12120     5.94e-07    4.92e-06
2011 08 03  0323   55776  12180     5.19e-07    4.73e-06
2011 08 03  0324   55776  12240     4.52e-07    4.52e-06
2011 08 03  0325   55776  12300     4.06e-07    4.40e-06
2011 08 03  0326   55776  12360     3.63e-07    4.23e-06
2011 08 03  0327   55776  12420     3.40e-07    4.12e-06
2011 08 03  0328   55776  12480     3.36e-07    4.12e-06
2011 08 03  0329   55776  12540     3.40e-07    4.17e-06
2011 08 03  0330   55776  12600     3.35e-07    4.20e-06
2011 08 03  0331   55776  12660     4.39e-07    4.74e-06
2011 08 03  0332   55776  12720     7.14e-07    5.88e-06
2011 08 03  0333   55776  12780     1.06e-06    7.14e-06
2011 08 03  0334   55776  12840     1.76e-06    9.16e-06
2011 08 03  0335   55776  12900     2.24e-06    1.10e-05
2011 08 03  0336   55776  12960     2.25e-06    1.17e-05
2011 08 03  0337   55776  13020     2.05e-06    1.18e-05
2011 08 03  0338   55776  13080     1.86e-06    1.15e-05
2011 08 03  0339   55776  13140     1.70e-06    1.11e-05
2011 08 03  0340   55776  13200     1.56e-06    1.07e-05
2011 08 03  0341   55776  13260     1.37e-06    1.02e-05
2011 08 03  0342   55776  13320     1.21e-06    9.70e-06
2011 08 03  0343   55776  13380     1.07e-06    9.16e-06
2011 08 03  0344   55776  13440     9.16e-07    8.56e-06
2011 08 03  0345   55776  13500     8.13e-07    8.03e-06
2011 08 03  0346   55776  13560     7.51e-07    7.60e-06
2011 08 03  0347   55776  13620     7.08e-07    7.23e-06
2011 08 03  0348   55776  13680     6.68e-07    6.92e-06
2011 08 03  0349   55776  13740     6.37e-07    6.69e-06
2011 08 03  0350   55776  13800     5.98e-07    6.45e-06
2011 08 03  0351   55776  13860     5.58e-07    6.20e-06
2011 08 03  0352   55776  13920     5.21e-07    5.98e-06
2011 08 03  0353   55776  13980     4.93e-07    5.79e-06
2011 08 03  0354   55776  14040     4.68e-07    5.61e-06
2011 08 03  0355   55776  14100     4.61e-07    5.49e-06
2011 08 03  0356   55776  14160     4.61e-07    5.37e-06
2011 08 03  0357   55776  14220     4.34e-07    5.18e-06
2011 08 03  0358   55776  14280     4.14e-07    5.00e-06
2011 08 03  0359   55776  14340     3.95e-07    4.84e-06
2011 08 03  0400   55776  14400     3.83e-07    4.72e-06
2011 08 03  0401   55776  14460     3.76e-07    4.60e-06
2011 08 03  0402   55776  14520     3.52e-07    4.42e-06
