# The data in this file represent the relationship between the GOES long (1-8 angstroms) flux and the isothermal temperature of the solar soft X-ray-emitting plasma assuming coronal abundances as modelled by CHIANTI.
# The data in this file were obtained by copying and pasting from the SSW routine goes_get_chianti_em.pro on 2014-04-18.
#
log10temp_MK;longfluxGOES1;longfluxGOES2;longfluxGOES3;longfluxGOES4;longfluxGOES5;longfluxGOES6;longfluxGOES7;longfluxGOES8;longfluxGOES9;longfluxGOES10;longfluxGOES11;longfluxGOES12;longfluxGOES13;longfluxGOES14;longfluxGOES15
0.0;5.17e-05;5.31e-05;5.31e-05;4.64e-05;4.37e-05;4.45e-05;3.84e-05;6.48e-05;6.83e-05;4.33e-05;5.40e-05;5.27e-05;5.43e-05;5.43e-05;6.27e-05
0.02;9.68e-05;9.95e-05;9.95e-05;8.68e-05;8.18e-05;8.29e-05;7.31e-05;1.19e-04;1.25e-04;8.18e-05;1.01e-04;9.82e-05;1.01e-04;1.01e-04;1.15e-04
0.040000000000000001;1.78e-04;1.83e-04;1.83e-04;1.59e-04;1.50e-04;1.51e-04;1.36e-04;2.15e-04;2.25e-04;1.51e-04;1.83e-04;1.79e-04;1.84e-04;1.84e-04;2.09e-04
0.059999999999999998;3.17e-04;3.26e-04;3.26e-04;2.85e-04;2.68e-04;2.69e-04;2.46e-04;3.77e-04;3.95e-04;2.72e-04;3.26e-04;3.19e-04;3.27e-04;3.27e-04;3.68e-04
0.080000000000000002;5.49e-04;5.64e-04;5.64e-04;4.92e-04;4.64e-04;4.64e-04;4.29e-04;6.45e-04;6.73e-04;4.72e-04;5.61e-04;5.50e-04;5.63e-04;5.63e-04;6.29e-04
0.10000000000000001;9.19e-04;9.44e-04;9.44e-04;8.24e-04;7.77e-04;7.74e-04;7.24e-04;1.07e-03;1.11e-03;7.94e-04;9.36e-04;9.19e-04;9.39e-04;9.39e-04;1.05e-03
0.12;1.49e-03;1.54e-03;1.54e-03;1.34e-03;1.26e-03;1.26e-03;1.18e-03;1.72e-03;1.79e-03;1.30e-03;1.52e-03;1.49e-03;1.52e-03;1.52e-03;1.69e-03
0.14000000000000001;2.37e-03;2.43e-03;2.43e-03;2.12e-03;2.00e-03;1.98e-03;1.89e-03;2.71e-03;2.81e-03;2.06e-03;2.40e-03;2.36e-03;2.40e-03;2.40e-03;2.65e-03
0.16;3.66e-03;3.76e-03;3.76e-03;3.29e-03;3.10e-03;3.06e-03;2.94e-03;4.16e-03;4.32e-03;3.20e-03;3.70e-03;3.64e-03;3.71e-03;3.71e-03;4.08e-03
0.17999999999999999;5.57e-03;5.72e-03;5.72e-03;4.99e-03;4.70e-03;4.65e-03;4.49e-03;6.28e-03;6.50e-03;4.87e-03;5.61e-03;5.52e-03;5.63e-03;5.63e-03;6.16e-03
0.20000000000000001;8.33e-03;8.56e-03;8.56e-03;7.47e-03;7.04e-03;6.94e-03;6.76e-03;9.33e-03;9.65e-03;7.31e-03;8.37e-03;8.25e-03;8.40e-03;8.40e-03;9.17e-03
0.22;1.23e-02;1.26e-02;1.26e-02;1.10e-02;1.04e-02;1.02e-02;1.00e-02;1.37e-02;1.41e-02;1.08e-02;1.23e-02;1.22e-02;1.24e-02;1.24e-02;1.35e-02
0.23999999999999999;1.80e-02;1.85e-02;1.85e-02;1.61e-02;1.52e-02;1.49e-02;1.48e-02;1.99e-02;2.05e-02;1.59e-02;1.80e-02;1.77e-02;1.80e-02;1.80e-02;1.95e-02
0.26000000000000001;2.59e-02;2.67e-02;2.67e-02;2.33e-02;2.19e-02;2.15e-02;2.14e-02;2.85e-02;2.94e-02;2.30e-02;2.59e-02;2.56e-02;2.60e-02;2.60e-02;2.81e-02
0.28000000000000003;3.71e-02;3.81e-02;3.81e-02;3.33e-02;3.13e-02;3.06e-02;3.08e-02;4.05e-02;4.17e-02;3.29e-02;3.70e-02;3.65e-02;3.70e-02;3.70e-02;3.99e-02
0.29999999999999999;5.24e-02;5.38e-02;5.38e-02;4.70e-02;4.42e-02;4.32e-02;4.38e-02;5.68e-02;5.84e-02;4.66e-02;5.21e-02;5.15e-02;5.22e-02;5.22e-02;5.61e-02
0.32000000000000001;7.30e-02;7.50e-02;7.50e-02;6.54e-02;6.16e-02;6.01e-02;6.13e-02;7.88e-02;8.09e-02;6.51e-02;7.24e-02;7.16e-02;7.26e-02;7.26e-02;7.78e-02
0.34000000000000002;1.00e-01;1.03e-01;1.03e-01;8.99e-02;8.47e-02;8.24e-02;8.46e-02;1.08e-01;1.11e-01;8.97e-02;9.94e-02;9.83e-02;9.96e-02;9.96e-02;1.06e-01
0.35999999999999999;1.36e-01;1.39e-01;1.39e-01;1.22e-01;1.15e-01;1.11e-01;1.15e-01;1.45e-01;1.49e-01;1.22e-01;1.34e-01;1.33e-01;1.35e-01;1.35e-01;1.43e-01
0.38;1.81e-01;1.86e-01;1.86e-01;1.62e-01;1.53e-01;1.48e-01;1.54e-01;1.93e-01;1.98e-01;1.62e-01;1.79e-01;1.77e-01;1.79e-01;1.79e-01;1.91e-01
0.40000000000000002;2.38e-01;2.44e-01;2.44e-01;2.13e-01;2.01e-01;1.95e-01;2.03e-01;2.53e-01;2.59e-01;2.14e-01;2.35e-01;2.32e-01;2.35e-01;2.35e-01;2.50e-01
0.41999999999999998;3.08e-01;3.16e-01;3.16e-01;2.76e-01;2.60e-01;2.52e-01;2.63e-01;3.26e-01;3.34e-01;2.77e-01;3.04e-01;3.01e-01;3.04e-01;3.04e-01;3.23e-01
0.44;3.93e-01;4.04e-01;4.04e-01;3.53e-01;3.32e-01;3.22e-01;3.38e-01;4.16e-01;4.25e-01;3.55e-01;3.88e-01;3.84e-01;3.89e-01;3.89e-01;4.11e-01
0.46000000000000002;4.97e-01;5.11e-01;5.11e-01;4.46e-01;4.20e-01;4.06e-01;4.28e-01;5.24e-01;5.35e-01;4.50e-01;4.90e-01;4.85e-01;4.91e-01;4.91e-01;5.18e-01
0.47999999999999998;6.21e-01;6.38e-01;6.38e-01;5.57e-01;5.25e-01;5.07e-01;5.37e-01;6.53e-01;6.67e-01;5.63e-01;6.11e-01;6.06e-01;6.12e-01;6.12e-01;6.46e-01
0.5;7.69e-01;7.90e-01;7.90e-01;6.89e-01;6.49e-01;6.27e-01;6.66e-01;8.05e-01;8.22e-01;6.97e-01;7.56e-01;7.49e-01;7.57e-01;7.57e-01;7.98e-01
0.52000000000000002;9.42e-01;9.68e-01;9.68e-01;8.45e-01;7.96e-01;7.68e-01;8.18e-01;9.85e-01;1.00e+00;8.56e-01;9.26e-01;9.18e-01;9.27e-01;9.27e-01;9.76e-01
0.54000000000000004;1.15e+00;1.18e+00;1.18e+00;1.03e+00;9.68e-01;9.33e-01;9.97e-01;1.19e+00;1.22e+00;1.04e+00;1.12e+00;1.12e+00;1.13e+00;1.13e+00;1.18e+00
0.56000000000000005;1.38e+00;1.42e+00;1.42e+00;1.24e+00;1.17e+00;1.12e+00;1.21e+00;1.44e+00;1.46e+00;1.26e+00;1.36e+00;1.34e+00;1.36e+00;1.36e+00;1.42e+00
0.57999999999999996;1.65e+00;1.70e+00;1.70e+00;1.48e+00;1.40e+00;1.35e+00;1.45e+00;1.72e+00;1.75e+00;1.51e+00;1.62e+00;1.61e+00;1.62e+00;1.62e+00;1.70e+00
0.59999999999999998;1.97e+00;2.02e+00;2.02e+00;1.76e+00;1.66e+00;1.60e+00;1.73e+00;2.04e+00;2.07e+00;1.80e+00;1.93e+00;1.91e+00;1.93e+00;1.93e+00;2.02e+00
0.62;2.32e+00;2.39e+00;2.39e+00;2.08e+00;1.96e+00;1.89e+00;2.04e+00;2.40e+00;2.44e+00;2.12e+00;2.27e+00;2.26e+00;2.28e+00;2.28e+00;2.38e+00
