log10temp;ratioGOES1;ratioGOES2;ratioGOES3;ratioGOES4;ratioGOES5;ratioGOES6;ratioGOES7;ratioGOES8;ratioGOES9;ratioGOES10;ratioGOES11;ratioGOES12;ratioGOES13;ratioGOES14;ratioGOES15
0.0;5.19e-06;5.13e-06;5.13e-06;4.25e-06;4.48e-06;3.06e-06;3.76e-06;1.77e-06;1.97e-06;3.37e-06;2.49e-06;2.73e-06;2.44e-06;2.44e-06;2.65e-06
0.02;7.91e-06;7.82e-06;7.82e-06;6.47e-06;6.83e-06;4.89e-06;5.89e-06;2.84e-06;3.14e-06;5.17e-06;3.87e-06;4.24e-06;3.80e-06;3.80e-06;4.14e-06
0.040000000000000001;1.18e-05;1.17e-05;1.17e-05;9.68e-06;1.02e-05;7.62e-06;9.03e-06;4.44e-06;4.90e-06;7.77e-06;5.91e-06;6.45e-06;5.81e-06;5.81e-06;6.32e-06
0.059999999999999998;1.74e-05;1.72e-05;1.72e-05;1.43e-05;1.50e-05;1.17e-05;1.36e-05;6.82e-06;7.51e-06;1.15e-05;8.88e-06;9.64e-06;8.73e-06;8.73e-06;9.48e-06
0.080000000000000002;2.54e-05;2.51e-05;2.51e-05;2.08e-05;2.19e-05;1.76e-05;2.02e-05;1.03e-05;1.13e-05;1.69e-05;1.32e-05;1.42e-05;1.29e-05;1.29e-05;1.40e-05
0.10000000000000001;3.66e-05;3.62e-05;3.62e-05;2.99e-05;3.16e-05;2.61e-05;2.95e-05;1.54e-05;1.68e-05;2.45e-05;1.93e-05;2.08e-05;1.90e-05;1.90e-05;2.06e-05
0.12;5.23e-05;5.17e-05;5.17e-05;4.28e-05;4.52e-05;3.82e-05;4.28e-05;2.27e-05;2.48e-05;3.52e-05;2.81e-05;3.01e-05;2.76e-05;2.76e-05;2.98e-05
0.14000000000000001;7.42e-05;7.33e-05;7.33e-05;6.07e-05;6.41e-05;5.54e-05;6.14e-05;3.31e-05;3.60e-05;5.01e-05;4.04e-05;4.32e-05;3.97e-05;3.97e-05;4.29e-05
0.16;1.04e-04;1.03e-04;1.03e-04;8.55e-05;9.02e-05;7.94e-05;8.71e-05;4.79e-05;5.19e-05;7.09e-05;5.77e-05;6.15e-05;5.67e-05;5.67e-05;6.11e-05
0.17999999999999999;1.46e-04;1.44e-04;1.44e-04;1.19e-04;1.26e-04;1.13e-04;1.22e-04;6.85e-05;7.41e-05;9.95e-05;8.15e-05;8.68e-05;8.03e-05;8.03e-05;8.63e-05
0.20000000000000001;2.02e-04;1.99e-04;1.99e-04;1.65e-04;1.74e-04;1.58e-04;1.70e-04;9.68e-05;1.04e-04;1.38e-04;1.14e-04;1.21e-04;1.12e-04;1.12e-04;1.21e-04
0.22;2.76e-04;2.73e-04;2.73e-04;2.26e-04;2.38e-04;2.18e-04;2.32e-04;1.35e-04;1.45e-04;1.89e-04;1.58e-04;1.67e-04;1.55e-04;1.55e-04;1.66e-04
0.23999999999999999;3.72e-04;3.67e-04;3.67e-04;3.04e-04;3.21e-04;2.97e-04;3.13e-04;1.85e-04;1.99e-04;2.56e-04;2.15e-04;2.27e-04;2.12e-04;2.12e-04;2.27e-04
0.26000000000000001;4.93e-04;4.88e-04;4.88e-04;4.04e-04;4.26e-04;3.97e-04;4.15e-04;2.51e-04;2.69e-04;3.41e-04;2.88e-04;3.04e-04;2.84e-04;2.84e-04;3.04e-04
0.28000000000000003;6.45e-04;6.38e-04;6.38e-04;5.28e-04;5.57e-04;5.23e-04;5.42e-04;3.34e-04;3.57e-04;4.47e-04;3.80e-04;4.00e-04;3.75e-04;3.75e-04;4.01e-04
0.29999999999999999;8.32e-04;8.23e-04;8.23e-04;6.81e-04;7.19e-04;6.80e-04;6.99e-04;4.38e-04;4.68e-04;5.78e-04;4.96e-04;5.20e-04;4.89e-04;4.89e-04;5.21e-04
0.32000000000000001;1.06e-03;1.05e-03;1.05e-03;8.68e-04;9.16e-04;8.72e-04;8.90e-04;5.68e-04;6.05e-04;7.40e-04;6.38e-04;6.68e-04;6.29e-04;6.29e-04;6.70e-04
0.34000000000000002;1.34e-03;1.33e-03;1.33e-03;1.10e-03;1.16e-03;1.11e-03;1.12e-03;7.30e-04;7.76e-04;9.39e-04;8.15e-04;8.51e-04;8.04e-04;8.04e-04;8.53e-04
0.35999999999999999;1.68e-03;1.67e-03;1.67e-03;1.38e-03;1.45e-03;1.40e-03;1.41e-03;9.32e-04;9.87e-04;1.18e-03;1.03e-03;1.08e-03;1.02e-03;1.02e-03;1.08e-03
